MenuID,MealTimeID
1,1
2,1
3,1
4,1
4,2
5,2
5,3
6,2
6,3
7,2
7,3
8,2
8,3
9,2
9,3
10,2
10,3
11,2
11,3
12,2
12,3
12,4
13,2
13,3
13,4
14,2
14,3
14,4
15,2
15,3
15,4
16,2
16,3
16,4
17,2
17,3
17,4
18,2
18,3
19,2
19,3
19,4
20,2
20,3
20,4
21,2
21,3
22,2
22,3
23,2
23,3
24,2
24,3
25,2
25,3
26,2
26,3
26,4
27,2
27,3
28,2
28,3
29,2
29,3
30,2
30,3
31,2
31,3
31,4
32,2
32,3
32,4
33,1
33,2
33,3
34,1
34,2
35,1
35,2
35,3
36,2
36,3
36,4
37,2
37,3
37,4
38,2
38,3
39,2
39,3
39,4
40,2
40,3
40,4
41,2
41,3
41,4
42,2
42,3
42,4
43,2
43,3
44,2
44,3
45,2
45,3
45,4
46,2
46,3
46,4
47,2
47,3
48,2
48,3
48,4
49,2
49,3
50,2
50,3
51,2
51,3
51,4
52,2
52,3
52,4
53,2
53,3
54,2
54,3
55,2
55,3
56,2
56,3
56,4
57,2
57,3
57,4
58,2
58,3
58,4
59,2
59,3
59,4
60,2
60,3
60,4
61,2
61,3
61,4
62,2
62,3
63,2
63,3
64,2
64,3
65,1
65,2
65,3
66,2
66,3
66,4
67,2
67,3
67,4
68,1
68,2
68,3
68,4
69,2
69,3
69,4
70,2
70,3
70,4
71,2
71,3
71,4
72,2
72,3
72,4
73,2
73,3
73,4
74,2
74,3
74,4
75,2
75,3
75,4
76,2
76,3
77,2
77,3
77,4
78,2
78,3
78,4
79,2
79,3
79,4
80,2
80,3
81,2
81,3
82,2
82,3
83,2
83,3
84,2
84,3
85,2
85,3
85,4
86,2
86,3
86,4
87,2
87,3
87,4
88,2
88,3
89,2
89,3
89,4
90,2
90,3
91,2
91,3
92,2
92,3
93,2
93,3
94,2
94,3
95,2
95,3
96,2
96,3
97,2
97,3
98,2
98,3
99,2
99,3
99,4
100,2
100,3
101,2
101,3
102,2
102,3
102,4
103,2
103,3
103,4
104,2
104,3
105,2
105,3
106,2
106,3
106,4
107,2
107,3
107,4
108,2
108,3
108,4
109,2
109,3
109,4
110,2
110,3
111,2
111,3
112,2
112,3
113,2
113,3
114,2
114,3
114,4
115,2
115,3
116,2
116,3
116,4
117,2
117,3
117,4
118,2
118,3
118,4
119,2
119,3
120,2
120,3
121,2
121,3
121,4
122,2
122,3
123,2
123,3
124,2
124,3
125,2
125,3
126,1
126,2
127,1
127,2
128,2
128,3
129,2
129,3
130,2
130,3
131,2
131,3
132,2
132,3
133,2
133,3
134,2
134,3
135,2
135,3
136,2
136,3
137,2
137,3
137,4
138,2
138,3
138,4
139,2
139,3
139,4
140,2
140,3
141,2
141,3
141,4
142,2
142,3
143,2
143,3
144,2
144,3
145,2
145,3
146,2
146,3
147,2
147,3
148,1
148,2
149,2
149,3
150,2
150,3
150,4
151,2
151,3
151,4
152,2
152,3
152,4
153,2
153,3
153,4
154,2
154,3
155,2
155,3
156,2
156,3
157,2
157,3
157,4
158,2
158,3
158,4
159,2
159,3
160,2
160,3
161,2
161,3
161,4
162,2
162,3
162,4
163,2
163,3
164,2
164,3
164,4
165,2
165,3
166,2
166,3
167,2
167,3
168,2
168,3
169,2
169,3
170,2
170,3
171,2
171,3
172,2
172,3
173,2
173,3
174,2
174,3
175,2
175,3
176,2
176,3
176,4
177,2
177,3
177,4
178,2
178,3
178,4
179,2
179,3
179,4
180,2
180,3
180,4
181,2
181,3
181,4
182,2
182,3
182,4
183,2
183,3
184,2
184,3
185,2
185,3
186,1
186,2
186,3
187,1
187,2
187,3
188,1
188,2
188,3
189,1
189,2
189,3
190,1
190,2
190,3
191,1
191,2
192,1
192,2
193,1
193,2
194,2
194,3
194,4
195,2
195,3
195,4
196,2
196,3
196,4
197,2
197,3
197,4
198,2
198,3
198,4
199,2
199,3
199,4
200,2
200,3
200,4
201,2
201,3
201,4
202,2
202,3
202,4
203,2
203,3
203,4
204,2
204,3
205,1
205,2
206,2
206,3
207,2
207,3
208,2
208,3
209,2
209,3
210,2
210,3
210,4
211,2
211,3
212,2
212,3
213,1
213,2
214,1
214,2
215,1
215,2
216,1
216,2
217,1
217,2
218,1
218,2
219,1
219,2
220,2
220,3
220,4
221,2
221,3
221,4
222,2
222,3
222,4
223,2
223,3
223,4
224,2
224,3
224,4
225,2
225,3
225,4
226,2
226,3
226,4
227,2
227,3
227,4
228,2
228,3
228,4
229,2
229,3
230,2
230,3
231,2
231,3
232,2
232,3
233,2
233,3
234,2
234,3
235,2
235,3
236,2
236,3
237,2
237,3
238,2
238,3
238,4
239,2
239,3
239,4
240,2
240,3
240,4
241,2
241,3
241,4
242,2
242,3
242,4
243,2
243,3
243,4
244,2
244,3
244,4
245,1
245,2
246,2
246,3
247,2
247,3
248,2
248,3
249,2
249,3
249,4
250,2
250,3
250,4
251,2
251,3
251,4
252,2
252,3
252,4
253,2
253,3
253,4
254,2
254,3
255,2
255,3
255,4
256,2
256,3
256,4
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,1
267,5
268,1
268,5
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,3
293,4
294,2
294,3
294,4
295,5
296,5
297,2
297,3
297,4
298,5
299,5
300,5
301,1
301,2
